,Delta_t,Value,Change,Ratio,Nsteps,Error%
0,0.05,0.653877911982062,NA,NA,20,1.2515162982187966
1,0.025,0.6498804970889777,-0.003997414893084361,NA,40,0.6325256399000351
2,0.0125,0.6478493419539882,-0.0020311551349894152,1.9680500146066846,80,0.3180058595465531
3,0.00625,0.6468254295065314,-0.0010239124474568095,1.9837195455865313,160,0.15945533205226098
4,0.003125,0.6463113617904348,-0.0005140677160966334,1.9917851586391715,320,0.07985310848583121
5,0.0015625,0.64605366430667,-0.00025769748376480717,1.9948495755038405,640,0.03994923576082908
6,0.00078125,0.6459245867265545,-0.00012907758011548864,1.9964542528163247,1280,0.019961864315322025
7,0.000390625,0.645860112607864,-6.447411869048292e-05,2.0020061186899465,2560,0.009978192807571493
