,Delta_t,Value,Change,Ratio,Nsteps,Error%
0,0.05,0.643604535195644,NA,NA,20,0.3392928697720087
1,0.025,0.6460153384945556,0.0024108032989116346,NA,40,0.03401457040689643
2,0.0125,0.6466957335939744,0.0006803950994187513,3.543240245220958,80,0.13937221322618132
3,0.00625,0.6466621975531941,-3.353604078026873e-05,-20.288474238111874,160,0.1341792331339982
4,0.003125,0.646381010107571,-0.00028118744562311004,0.11926578267373573,320,0.09063799292439792
5,0.0015625,0.6460535521670174,-0.0003274579405535549,0.8586978991798874,640,0.03993187118916947
6,0.00078125,0.6457577661623815,-0.00029578600463597837,1.1070771957468204,1280,0.005869922877253089
7,0.000390625,0.6458370871260588,7.932096367735397e-05,-3.7289764385505677,2560,0.006412749009036829
