,Delta_t,Value,Change,Ratio,Nsteps,Error%
0,0.05,0.6359450187157799,NA,NA,20,1.525351679048178
1,0.025,0.6408534312912093,0.0049084125754293995,NA,40,0.7652950893202997
2,0.0125,0.6433205000951402,0.002467068803930883,1.9895726327569876,80,0.3832750629015335
3,0.00625,0.644557096267971,0.001236596172830784,1.9950480667292807,160,0.19179094139610187
4,0.003125,0.6451761402110691,0.0006190439430980854,1.997590294869987,320,0.09593338642240073
5,0.0015625,0.6454858461797326,0.00030970596866353173,1.9988117948434574,640,0.04797611739837613
6,0.00078125,0.6456407448538835,0.00015489867415086067,1.9994100682998706,1280,0.023990407921178486
7,0.000390625,0.6457182055754827,7.746072159919848e-05,1.9997060568625464,2560,0.01199579031481378
