,Delta_t,Value,Change,Ratio,Nsteps,Error%
0,0.05,0.9314896832307147,NA,NA,20,1.0464499132675915
1,0.025,0.9363980958061433,0.004908412575428622,NA,40,0.5250218627233942
2,0.0125,0.9388651646100805,0.0024670688039372113,1.9895726327515693,80,0.2629414330066541
3,0.00625,0.9401017607828235,0.0012365961727429653,1.9950480668760795,160,0.13157596163376867
4,0.003125,0.9407208047261386,0.000619043943315134,1.9975902940277321,320,0.06581399244237163
5,0.0015625,0.9410305106951636,0.00030970596902502034,1.998811793211267,640,0.032913461529581356
6,0.00078125,0.9411854093695075,0.00015489867434381743,1.9994100681429223,1280,0.016458342373685184
7,0.000390625,0.9412628700898679,7.746072036041163e-05,1.9997060913337767,2560,0.00822957354250118
