,delta_t = 0.005,delta_t = 0.0025,delta_t = 0.00125,delta_t = 0.000625,delta_t = 0.0003125,delta_t = 0.00015625
0,0.16254347003450534,0.044330037282137816,0.044330037282137816,0.014776679094045939,0.029553358188091877,0.044330037282137816
1,0.09077102872056791,0.08443816625169108,0.05488480806359921,0.044330037282137816,0.05488480806359921,0.03588622065696871
2,0.08525007169641888,0.07161006022499186,0.06138005162142159,0.039783366791662146,0.03523669630118647,0.04205670203689998
3,0.06766163585168404,0.06221759618545659,0.048218637043728856,0.045885477186774236,0.041996877425183196,0.04744091709141065
4,0.0880690074005138,0.054969246229850895,0.06028885070370743,0.044330037282137816,0.040192567135804956,0.049058574592232514
5,0.07626673080797905,0.061013384646383235,0.06387338705168244,0.04528337141723756,0.04480670434968769,0.04337670314703808
6,0.079075201638408,0.06709411048107346,0.059106716376183754,0.041534449345426425,0.04712562521884921,0.03554390376675915
7,0.07113424587133743,0.0707906021714759,0.055670279377568424,0.05395206087826076,0.049141049080199284,0.042955462482691685
8,0.07599434962652198,0.07056618179605612,0.05156759438942563,0.05367854854571791,0.05548793782253986,0.04583786167948945
9,0.08060006778570512,0.06716672315475426,0.0596440501614218,0.0534647116311844,0.045404704852613886,0.045404704852613886
10,0.07509459867465969,0.06249808534858775,0.05716879124909577,0.05087053458605979,0.03657833677378585,0.04069642766884784
11,0.08049981894517563,0.06770806689361349,0.06020945362200809,0.05381357759622701,0.05381357759622701,0.0432273000363135
12,0.08238504645584517,0.06659626605398787,0.05890429611462149,0.052426847744628746,0.04250825492807737,0.03805500917370735
13,0.07481862832428324,0.06191241493834438,0.05648806438483385,0.04900620155240552,0.046948689273487734,0.040963199007545074
14,0.07649104472212016,0.06797272383261133,0.05788981339196821,0.05110992533705301,0.04572078354981273,0.03998395519565372
15,0.08232721209539881,0.06235433815509495,0.059756240731966,0.05423528370781697,0.04579146708264786,0.04546670490475674
16,0.0811955665683143,0.06977029922755712,0.055145957031387936,0.05240389286960622,0.04935715491207097,0.04158797312035609
